X,Y,¿º œÃÂª˝,¿º œ—π¡¶,Ω‚Œ¸—π¡¶,¥¢≤„—π¡¶,√∫∫Ò,…¯Õ∏¬ ,ø◊œ∂∂»,æÆ∫≈,∫¨∆¯¡ø,¿€º∆≤˙∆¯¡ø_200,¿€º∆≤˙∆¯¡ø_250,¿€º∆≤˙∆¯¡ø_300,¿€º∆≤˙∆¯¡ø_400, ’“Ê_200, ’“Ê_250, ’“Ê_300, ’“Ê_400
616928.7,3957870.6,33.62,3.09,11.583,8.939,6.5,0.786,0.056,÷£ ‘72,26.54,489.7733234,645.2807574,791.9976486,1046.769288,205.2735858,429.2042906,640.4766139,1007.347774
614331.82,3955166.6,35.24,2.53,4.969,7.005,5.5,0.612,0.059,÷£ ‘73,23.35,195.6355848,219.4659008,229.9517812,226.0383521,-218.2847579,-183.9691028,-168.8694351,-174.5047729
618664.824,3957159.913,35.93,2.84,8.448,5.99,4,1.26,0.049,÷£ ‘74,26.89,335.5803975,446.1331789,551.0245334,734.934805,-16.76422759,142.4317777,293.4753282,558.3061192
615145.15,3950990.65,34.27,2.13,3.305,3.554,6.56,1.385,0.049,÷£ ‘76,20.84,270.6498841,315.8853736,342.2323399,355.9227651,-110.2641669,-45.12506197,-7.185430568,12.52878179
618617.5,3952423.9,33.59,2.2,4.661,4.64,5.6,0.9,0.048,÷£ ‘77,22.82,251.4046491,299.5028028,332.1502272,361.7159916,-137.9773053,-68.71596391,-21.70367284,20.87102794
612210,3950526.46,31.61,2.42,5.797,3.59,5.28,1.3,0.0475,÷£ ‘78,22.3,334.7233778,432.9024961,519.1590315,651.0636808,-17.99833593,123.3795944,247.5890053,437.5317004
620879.98,3951908.4,32.89,2.68,1.792,5.1,5.65,1.106,0.0469,÷£ ‘79,13.18,63.14011982,55.56553437,43.43090885,11.95706248,-409.0782275,-419.9856305,-437.4594913,-482.78183
622140.8,3953159.15,36.43,2.15,3.875,5.53,6.7,1.1,0.059,÷£ ‘80,23.43,272.6769143,311.9726924,332.174159,334.5846224,-107.3452434,-50.75932293,-21.66921109,-18.19814369
620640.86,3949725.86,35.28,2.39,4.388,5.67,5.36,1.3,0.058,÷£ ‘81,22.84,271.1829757,327.2514295,366.1952759,402.2372446,-109.4965149,-28.75794151,27.32119732,79.22163218
621927.24,3947612.84,33.3,2.31,4.754,5.36,5.73,1.185,0.0548,÷£ ‘82,22.41,291.21211,356.0858779,404.3583874,457.3506588,-80.65456167,12.7636642,82.27607793,158.5849487
621941.56,3945097.42,33.9,2.56,3.276,7.301,6.7,1.101,0.0562,÷£ ‘83,19.03,201.4933653,217.7015938,216.9241699,183.8387866,-209.8495539,-186.5097049,-187.6291953,-235.2721473
617715.1,3947426.7,37.24,2.11,1.619,2.362,5.9,1.6,0.0436,÷£ ‘85,16.17,96.89973669,95.73292387,90.28323053,76.7353347,-360.4643792,-362.1445896,-369.992148,-389.501118
621927.25,3947612.84,38.64,2.53,3.729,4.028,5.5,1.4,0.062,÷£ ‘87,23.02,268.398534,315.809247,344.6086869,363.0063253,-113.506111,-45.23468429,-3.763490907,22.72910842
618962.1,3943170.4,34.6,2.18,3.212,4.19,3.2,1.3,0.061,÷£ ‘89,20.61,116.6804737,131.9246276,138.8776231,137.6006989,-331.9801179,-310.0285362,-300.0162228,-301.8549936
625597,3948431.5,39.13,2.93,6.593,8.633,4.8,1.05,0.0589,÷£ ‘91,27.09,315.8344892,394.3152829,457.5002522,538.8766798,-45.19833549,67.81400742,158.8003632,275.9824189
618049.9,3941715.58,35.16,2.05,2.172,4.21,2.65,1.3,0.0584,÷£ ‘92,18.09,53.63576569,53.8411111,50.80705542,40.78676545,-422.7644974,-422.4688,-426.8378402,-441.2670578
619902.4,3941570.7,27.05,1.97,2.092,4.005,2.9,1.2,0.0541,÷£ ‘93,13.93,47.78805447,48.45535234,45.99876089,37.15995813,-431.1852016,-430.2242926,-433.7617843,-446.4896603
621086.3,3943396.4,39.48,2.45,2.365,5.133,7.1,1.235,0.0495,÷£ ‘94,19.39,165.7035338,167.3799325,158.0452644,125.6966451,-261.3869113,-258.9728972,-272.4148193,-318.996831
631915,3949617.4,39.35,3.2,4.354,10.098,5.38,0.7,0.0596,÷£ ‘99,22.68,165.3245288,172.0996511,163.8453116,118.5354921,-261.9326785,-252.1765025,-264.0627513,-329.3088914
